ProblemType,Algorithm,Method,Accuracy
sparse,notears-logistic,DTCgini,0.894
sparse,notears-logistic,DTCent,0.894
sparse,notears-logistic,RFCgini,0.894
sparse,notears-logistic,RFCent,0.894
sparse,notears-logistic,LRnone,0.895
sparse,notears-logistic,LRl1,0.895
sparse,notears-logistic,LRl2,0.895
sparse,notears-logistic,LRmix,0.895
sparse,notears-logistic,BNB,0.896
sparse,notears-logistic,GNB,0.894
sparse,notears-logistic,MnNB,0.837
sparse,notears-logistic,CNB,0.792
sparse,notears-logistic,SVMsig,0.86
sparse,notears-logistic,SVMpoly,0.894
sparse,notears-logistic,SVMrbf,0.894
sparse,notears-logistic,KNCunif,0.896
sparse,notears-logistic,KNCdist,0.896
sparse,notears-l2,DTCgini,0.547
sparse,notears-l2,DTCent,0.547
sparse,notears-l2,RFCgini,0.547
sparse,notears-l2,RFCent,0.547
sparse,notears-l2,LRnone,0.508
sparse,notears-l2,LRl1,0.508
sparse,notears-l2,LRl2,0.508
sparse,notears-l2,LRmix,0.508
sparse,notears-l2,BNB,0.508
sparse,notears-l2,GNB,0.508
sparse,notears-l2,MnNB,0.421
sparse,notears-l2,CNB,0.609
sparse,notears-l2,SVMsig,0.45
sparse,notears-l2,SVMpoly,0.395
sparse,notears-l2,SVMrbf,0.547
sparse,notears-l2,KNCunif,0.509
sparse,notears-l2,KNCdist,0.509
sparse,notears-poisson,DTCgini,0.584
sparse,notears-poisson,DTCent,0.584
sparse,notears-poisson,RFCgini,0.584
sparse,notears-poisson,RFCent,0.584
sparse,notears-poisson,LRnone,0.59
sparse,notears-poisson,LRl1,0.59
sparse,notears-poisson,LRl2,0.59
sparse,notears-poisson,LRmix,0.59
sparse,notears-poisson,BNB,0.59
sparse,notears-poisson,GNB,0.59
sparse,notears-poisson,MnNB,0.644
sparse,notears-poisson,CNB,0.644
sparse,notears-poisson,SVMsig,0.546
sparse,notears-poisson,SVMpoly,0.59
sparse,notears-poisson,SVMrbf,0.538
sparse,notears-poisson,KNCunif,0.526
sparse,notears-poisson,KNCdist,0.526
sparse,pgmpy-hc,DTCgini,0.671
sparse,pgmpy-hc,DTCent,0.671
sparse,pgmpy-hc,RFCgini,0.697
sparse,pgmpy-hc,RFCent,0.671
sparse,pgmpy-hc,LRnone,0.838
sparse,pgmpy-hc,LRl1,0.838
sparse,pgmpy-hc,LRl2,0.838
sparse,pgmpy-hc,LRmix,0.838
sparse,pgmpy-hc,BNB,0.838
sparse,pgmpy-hc,GNB,0.838
sparse,pgmpy-hc,MnNB,0.837
sparse,pgmpy-hc,CNB,0.506
sparse,pgmpy-hc,SVMsig,0.496
sparse,pgmpy-hc,SVMpoly,0.671
sparse,pgmpy-hc,SVMrbf,0.671
sparse,pgmpy-hc,KNCunif,0.551
sparse,pgmpy-hc,KNCdist,0.551
sparse,pgmpy-tree,DTCgini,0.639
sparse,pgmpy-tree,DTCent,0.639
sparse,pgmpy-tree,RFCgini,0.694
sparse,pgmpy-tree,RFCent,0.639
sparse,pgmpy-tree,LRnone,0.837
sparse,pgmpy-tree,LRl1,0.837
sparse,pgmpy-tree,LRl2,0.837
sparse,pgmpy-tree,LRmix,0.837
sparse,pgmpy-tree,BNB,0.837
sparse,pgmpy-tree,GNB,0.837
sparse,pgmpy-tree,MnNB,0.837
sparse,pgmpy-tree,CNB,0.346
sparse,pgmpy-tree,SVMsig,0.45
sparse,pgmpy-tree,SVMpoly,0.756
sparse,pgmpy-tree,SVMrbf,0.694
sparse,pgmpy-tree,KNCunif,0.422
sparse,pgmpy-tree,KNCdist,0.422
sparse,pgmpy-mmhc,DTCgini,0.517
sparse,pgmpy-mmhc,DTCent,0.517
sparse,pgmpy-mmhc,RFCgini,0.517
sparse,pgmpy-mmhc,RFCent,0.693
sparse,pgmpy-mmhc,LRnone,0.704
sparse,pgmpy-mmhc,LRl1,0.59
sparse,pgmpy-mmhc,LRl2,0.704
sparse,pgmpy-mmhc,LRmix,0.704
sparse,pgmpy-mmhc,BNB,0.704
sparse,pgmpy-mmhc,GNB,0.704
sparse,pgmpy-mmhc,MnNB,0.659
sparse,pgmpy-mmhc,CNB,0.658
sparse,pgmpy-mmhc,SVMsig,0.506
sparse,pgmpy-mmhc,SVMpoly,0.632
sparse,pgmpy-mmhc,SVMrbf,0.693
sparse,pgmpy-mmhc,KNCunif,0.423
sparse,pgmpy-mmhc,KNCdist,0.423
sparse,pomegranate-exact,DTCgini,0.869
sparse,pomegranate-exact,DTCent,0.869
sparse,pomegranate-exact,RFCgini,0.869
sparse,pomegranate-exact,RFCent,0.869
sparse,pomegranate-exact,LRnone,0.868
sparse,pomegranate-exact,LRl1,0.868
sparse,pomegranate-exact,LRl2,0.868
sparse,pomegranate-exact,LRmix,0.868
sparse,pomegranate-exact,BNB,0.895
sparse,pomegranate-exact,GNB,0.653
sparse,pomegranate-exact,MnNB,0.837
sparse,pomegranate-exact,CNB,0.754
sparse,pomegranate-exact,SVMsig,0.836
sparse,pomegranate-exact,SVMpoly,0.869
sparse,pomegranate-exact,SVMrbf,0.869
sparse,pomegranate-exact,KNCunif,0.869
sparse,pomegranate-exact,KNCdist,0.869
sparse,pomegranate-greedy,DTCgini,0.868
sparse,pomegranate-greedy,DTCent,0.868
sparse,pomegranate-greedy,RFCgini,0.868
sparse,pomegranate-greedy,RFCent,0.868
sparse,pomegranate-greedy,LRnone,0.894
sparse,pomegranate-greedy,LRl1,0.894
sparse,pomegranate-greedy,LRl2,0.894
sparse,pomegranate-greedy,LRmix,0.894
sparse,pomegranate-greedy,BNB,0.896
sparse,pomegranate-greedy,GNB,0.653
sparse,pomegranate-greedy,MnNB,0.837
sparse,pomegranate-greedy,CNB,0.792
sparse,pomegranate-greedy,SVMsig,0.895
sparse,pomegranate-greedy,SVMpoly,0.868
sparse,pomegranate-greedy,SVMrbf,0.868
sparse,pomegranate-greedy,KNCunif,0.906
sparse,pomegranate-greedy,KNCdist,0.906
